generation,best_fitness,avg_fitness,stdev
95,1367,-701.4733333333334,531.5485891451714
96,598,-792.52,369.4679367234277
97,1711,-773.6133333333333,496.8293977703904
98,1841,-753.7066666666667,448.65763557032614
99,1438,-751.6,428.71625425993204
100,1541,-740.7866666666666,448.2401675689298
101,1413,-690.92,502.69306102233
102,1418,-718.7866666666666,520.9296892629137
103,1179,-790.46,404.1123875029487
104,484,-788.8066666666666,369.43283912265053
105,1289,-759.98,461.37467738632273
106,1428,-653.6266666666667,576.5474891879152
107,1723,-717.6,556.3521906131042
108,1190,-660.6666666666666,457.7505531278894
109,766,-717.3066666666666,444.29754214440067
110,1404,-773.1133333333333,399.1610625076325
111,1774,-718.2066666666667,540.4767314962678
112,1543,-778.28,448.43528139520873
113,1638,-618.24,605.9130595500756
114,1350,-698.4466666666667,524.0050068039002
115,1543,-599.46,578.93049243123
116,1912,-678.02,590.2288874665489
117,1132,-729.7333333333333,489.4604058439139
118,2403,-675.96,587.7919913257297
119,2202,-628.3733333333333,606.7718137451309
120,2733,-649.44,640.2796314111514
121,2702,-728.5533333333333,491.31883112925993
122,1345,-613.6733333333333,580.0340736734543
123,1139,-694.3,555.4183258289796
124,2095,-644.2933333333333,662.0318476394386
125,2793,-560.68,721.5340261784839
126,2267,-533.5466666666666,757.7388871871071
127,2169,-579.2733333333333,661.2790827546935
128,2136,-590.7133333333334,631.9841489221774
129,1633,-575.1466666666666,614.2316108946382
130,2217,-571.5,628.377304385404
131,1772,-595.9666666666667,636.5055476759194
132,2341,-618.0933333333334,617.6110895665295
133,1416,-563.0733333333334,602.5716565595241
134,2203,-473.5133333333333,703.25705813893
135,2039,-543.1866666666666,709.1988192006213
136,2342,-552.28,668.463682583679
137,2407,-564.3733333333333,693.2072085282695
138,2729,-629.5866666666667,633.9073032830236
139,1394,-639.68,551.3370332806121
140,1561,-624.18,602.6112851028706
141,2237,-552.82,654.5366816306021
142,1513,-633.9866666666667,584.7495074721215
143,1800,-623.5666666666667,617.2019919676937
144,1760,-447.72,709.6334464120661
145,1707,-560.0866666666667,663.381679343716
146,1733,-556.22,631.1224273202996
147,1858,-565.4,670.5397527365544
148,2137,-481.12,719.0184042150798
149,1669,-652.14,607.2202459294869
150,2043,-578.9533333333334,663.5007092351565
151,1624,-632.4,589.1826994518194
152,1592,-518.7266666666667,644.8418089905633
153,1822,-619.5,562.3639835551348
154,2758,-597.2466666666667,657.2694316809677
155,1716,-542.3933333333333,664.6056364157286
156,1513,-560.2333333333333,616.77718739338
157,1978,-512.7666666666667,658.540015657532
158,1277,-620.6733333333333,500.4399730459409
159,2071,-571.2266666666667,627.5735935242088
160,1327,-486.3666666666667,653.2180076785663
161,2510,-616.6266666666667,617.0732700597413
162,1930,-469.0466666666667,685.9683407336586
163,2144,-574.22,666.270294199984
164,1654,-550.2,611.9444746053355
165,1664,-514.4666666666667,653.8126609018484
166,2248,-528.5866666666667,682.3942671375705
167,2101,-558.34,661.7612543306941
168,1840,-532.2933333333333,681.5850208317537
169,1687,-439.7133333333333,759.1145309869621
170,1547,-507.4266666666667,674.8428592066616
171,1923,-537.4266666666666,627.4036695957575
172,1139,-618.1275167785235,524.6655986920437
173,2035,-517.9798657718121,667.4073594793741
174,1987,-597.3266666666667,606.3483321949157
175,1812,-650.4,611.2066971709867
176,2232,-661.9664429530201,608.7445372449782
177,2067,-553.9733333333334,666.9094585890618
178,1346,-611.5933333333334,567.8827237692265
179,2177,-715.46,598.5995838065153
180,1216,-547.4429530201343,584.258876411052
181,1415,-640.3733333333333,545.5478169896955
182,2289,-594.7350993377484,599.9390664642729
183,1722,-534.8543046357615,717.5479714664674
184,1549,-579.04,640.9311338981746
185,1630,-661.1059602649007,579.306918074274
186,1999,-509.71523178807945,662.7043568609082
187,1538,-591.5496688741722,605.618404200626
188,2150,-486.52,711.5548582271551
189,1911,-535.7919463087248,678.4853272282289
190,1705,-601.5133333333333,550.8071378945225
191,1945,-529.9731543624162,665.3308602806036
192,1554,-690.0872483221476,530.542155690678
193,1946,-571.7315436241611,631.4356671559484
194,1763,-554.6107382550335,637.8366721092277
195,2311,-618.6308724832214,623.4196809888224
196,1820,-566.4666666666667,636.7314836115945
197,1495,-547.384105960265,637.9004765835538
198,1665,-503.9865771812081,665.8887686159164
199,2630,-537.8,628.0402110268633
